 ,Restaurant,Number,DateNumber,Weight,Type,Note,Primary category,Single Ingredient?,Meat Y/N/U,Ingredients,Content 1,Content 2,Content 3,Content 4,Content 5,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
,#N/A,,12/30/1899,,,,,,,,#VALUE!,,,,,,,,,,,,,,,,
